nomor_kelompok,kelas,username
1,Kelas A,kelompok01
2,Kelas A,kelompok02
3,Kelas A,kelompok03
4,Kelas A,kelompok04
5,Kelas A,kelompok05
6,Kelas A,kelompok06
7,Kelas A,kelompok07
8,Kelas A,kelompok08
9,Kelas A,kelompok09
10,Kelas A,kelompok10
11,Kelas B,kelompok11
12,Kelas B,kelompok12
13,Kelas B,kelompok13
14,Kelas B,kelompok14
15,Kelas B,kelompok15
16,Kelas B,kelompok16
17,Kelas B,kelompok17
18,Kelas B,kelompok18
19,Kelas B,kelompok19
20,Kelas B,kelompok20
21,Kelas C,kelompok21
22,Kelas C,kelompok22
23,Kelas C,kelompok23
24,Kelas C,kelompok24
25,Kelas C,kelompok25
26,Kelas C,kelompok26
27,Kelas C,kelompok27
28,Kelas C,kelompok28
29,Kelas C,kelompok29
30,Kelas C,kelompok30
